segment_id,street_name,side,latitude,longitude,regulation_type,time_restrictions,max_stay_minutes,hourly_rate,vehicle_types,seasonal
CURB_SEG_00000,Street_0,left,40.62684383074904,-74.14066245690867,no_parking,24/7,60,3,motorcycle,0
CURB_SEG_00001,Street_1,right,40.82488589194125,-73.89029274988437,loading_zone,weekdays,480,3,truck,0
CURB_SEG_00002,Street_2,right,40.830950872198976,-73.9726589054115,handicapped,weekdays,30,6,motorcycle,0
CURB_SEG_00003,Street_3,right,40.69351146555784,-74.08419156654473,loading_zone,none,120,4,handicapped,0
CURB_SEG_00004,Street_4,left,40.57253529812972,-73.93527586365265,handicapped,9am-9pm,480,4,truck,0
CURB_SEG_00005,Street_5,left,40.73105047078295,-74.08094896394361,loading_zone,none,120,4,passenger,0
CURB_SEG_00006,Street_6,left,40.57428210779312,-74.01476302707654,residential,24/7,480,5,passenger,1
CURB_SEG_00007,Street_7,left,40.815144534364904,-74.12328416191986,time_limited,9am-9pm,480,5,passenger,0
CURB_SEG_00008,Street_8,left,40.72981665314862,-73.98009741930129,handicapped,none,480,3,truck,0
CURB_SEG_00009,Street_9,left,40.67436703128068,-74.1277113664751,no_parking,9am-9pm,480,5,commercial,0
CURB_SEG_00010,Street_10,left,40.581152964892134,-73.98770769402911,parking,24/7,120,4,motorcycle,1
CURB_SEG_00011,Street_11,left,40.76895794339158,-74.0915184087163,parking,24/7,480,1,passenger,0
CURB_SEG_00012,Street_12,left,40.80177686957106,-74.07075940179743,time_limited,24/7,480,6,commercial,0
CURB_SEG_00013,Street_13,left,40.76234770515235,-74.02783715103388,parking,none,60,4,truck,0
CURB_SEG_00014,Street_14,right,40.65544336875598,-74.11574988987472,loading_zone,24/7,60,5,passenger,0
CURB_SEG_00015,Street_15,right,40.741050286063434,-74.0831357267584,handicapped,none,60,3,truck,1
CURB_SEG_00016,Street_16,right,40.714232729901426,-74.0293179201601,no_parking,weekends,480,3,passenger,0
